ID,Region,Country,City,Building Tenure,Primary Use,Area,Area Type,Lease Expiry Date,Break Option Date,Currency,Rental Cost,Lease Until Expiry,Per Square Meter
290,SAMEA,Bangladesh,Chittagaon,Leased,Office,91.04494,sqm,2022-10-31,,USD,2710,3021.836,29.76552019
291,SAMEA,Brunei,Muara,Leased,Office,126.069371,sqm,2026-05-31,,USD,3599,16910.370,28.5477747
292,S. Europe,France,Marseille,Leased,Office,1980,sqm,2022-12-31,2021-12-31,USD,56309,72198.937,28.43888889
293,SAMEA,Malaysia,Pasir Gudang,Leased,Office,167.2254,sqm,2023-04-30,,USD,4623,7447.463,27.64532182
294,N. Europe,Austria,Vienna,Leased,Office,721,sqm,2022-06-30,,USD,18461,14364.175,25.60471567
295,N. Europe,Germany,Hamburg,Leased,Office,34590,sqm,2024-03-31,,USD,850324,2152601.030,24.58294305
296,N. Europe,Norway,Sunndalsøra,Leased,Office,1162,sqm,2021-07-31,,USD,28289,-3875.205,24.34509466
297,N. Europe,Finland,Helsinki,Leased,Office,5070,sqm,,,USD,121461,,23.95680473
298,N. Europe,Norway,Aalesund,Leased,Office,796,sqm,,,USD,18838,,23.66582915
299,N. Europe,Norway,Oslo,Leased,Office,17383.72,sqm,2021-01-01,,USD,392470,-280642.932,22.57687077
300,N. Europe,Norway,Trondheim,Leased,Office,2432,sqm,2021-10-31,,USD,54000,6213.699,22.20394737
301,N. Europe,Russia,St Petersburg,Leased,Office,1549,sqm,,,USD,34000,,21.94964493
302,SAMEA,Egypt,Alexandria,Leased,Office,170.01249,sqm,2021-11-09,,USD,3525,492.534,20.7337708
303,N. Europe,Czech Republic,Prague,Leased,Office,2119,sqm,,,USD,41142,,19.41576215
304,North Asia,Japan,Hiroshima,Leased,Residential,22.34999034,sqm,2021-03-11,,USD,421.670583,-221.810,18.8667009
305,S. Europe,Spain,Cadiz,Leased,Office,2153,sqm,2021-01-01,2017-10-01,USD,39915,-28541.959,18.53924756
306,N. Europe,Norway,Bergen,Leased,Office,3131,sqm,2021-12-31,,USD,57671,16274.282,18.41935484
307,N. Europe,Netherlands,Apeldoorn,Leased,Office,732,sqm,,,USD,12594,,17.20491803
308,N. Europe,Denmark,Copenhagen,Leased,Office,26910,sqm,2021-12-31,,USD,462228,130436.942,17.17681159
309,S. Europe,France,Lyon,Leased,Office,10764,sqm,2025-12-31,2025-12-31,USD,181051,775791.134,16.82004831
310,SAMEA,Egypt,Suez,Leased,Office,149.945442,sqm,2019-06-30,,USD,2408,-5356.975,16.05917438
311,N. Europe,Sweden,Sundbyberg,Leased,Office,12250,sqm,2019-05-31,,USD,194500,-448682.192,15.87755102
312,N. Europe,Poland,Gdansk,Leased,Office,5993,sqm,2022-08-30,2021-08-31,USD,93023,87925.849,15.52194227
313,S. Europe,Cyprus,Limassol,Leased,Office,1399.308352,sqm,2021-12-31,,USD,21269,6001.937,15.19965201
