ID,Region,Country,City,Building Tenure,Primary Use,Area,Area Type,Lease Expiry Date,Break Option Date,Currency,Rental Cost,Lease Until Expiry,Per Square Meter
103,North Asia,China,Shanghai,Leased,Office,522.207763,sqm,2021-02-14,,USD,161970,-96294.493,310.1639069
104,North Asia,China,Shanghai,Leased,Office,521.000024,sqm,2021-02-14,,USD,160697,-95537.668,308.4395251
105,North Asia,Japan,Yokohama,Leased,Office,1572.011663,sqm,2021-07-31,,USD,469849,-64362.877,298.8839148
106,North Asia,China,Shanghai,Leased,Residential,123.5897899,sqm,2022-11-30,,USD,36548.22,43757.732,295.7220012
107,UK & I,England,Lowestoft,Leased,Office,57.042442,sqm,2022-03-31,,USD,16860,8915.014,295.5693938
108,SAMEA,Singapore,Singapore,Leased,Office,3072.30221,sqm,2025-04-11,,USD,899243,3202783.288,292.6935368
109,UK & I,Scotland,Edinburgh,Leased,Office,418.0635,sqm,2022-02-05,,USD,119786,45617.134,286.5258507
110,SAMEA,UAE,Dubai,Leased,Residential,119.937773,sqm,2022-08-15,,USD,33145,29966.712,276.3516378
111,North Asia,China,Shanghai,Leased,Office,92.903,sqm,2021-02-14,,USD,25545,-15187.027,274.96421
112,SAMEA,Kazakhstan,Almaty,Leased,Office,30.99987304,sqm,2021-02-28,,USD,8351,-4644.529,269.3882
113,North Asia,China,Shanghai,Leased,Residential,134.988059,sqm,2022-06-30,,USD,35084,27298.236,259.9044705
114,SAMEA,Kazakhstan,Almaty,Leased,Office,30.99987304,sqm,2021-03-31,,USD,7700,-3628.493,248.388114
115,SAMEA,Australia,North Sydney,Leased,Office,131.829357,sqm,2022-08-31,,USD,31896,30235.660,241.9491434
116,North Asia,Japan,Kobe,Leased,Office,226.869126,sqm,2019-03-31,,USD,53424,-132169.512,235.4837828
117,Americas,USA,Vermont,Leased,Office,26.01284,sqm,2021-09-30,,USD,6005,180.973,230.8475353
118,North Asia,Japan,Kanagawa,Leased,Residential,26.01284,sqm,2016-09-26,,USD,5873,-29268.458,225.7731182
119,North Asia,China,Shanghai,Leased,Residential,94.68952469,sqm,2022-06-30,,USD,20710.66,16114.596,218.7217653
120,SAMEA,UAE,Abu Dhabi,Leased,Office,132.9999348,sqm,2021-03-04,,USD,28894,-15753.167,217.2482268
121,North Asia,China,Qingdao,Leased,Residential,104.9998996,sqm,2022-06-30,,USD,22659.9,17631.265,215.8087777
122,UK & I,England,Guildford,Leased,Office,168.897654,sqm,2022-10-08,2017-10-09,USD,36360,38252.712,215.278301
123,North Asia,Korea,Geoje,Leased,Residential,69.026929,sqm,2021-05-13,,USD,14824,-5239.167,214.7567654
124,Americas,USA,Miami (Plantation),Leased,Office,650.785515,sqm,2023-04-30,,USD,137233,221076.723,210.8728557
125,SAMEA,Kazakhstan,Atyrau,Leased,Office,297.010891,sqm,2021-07-31,,USD,62628,-8579.178,210.8609546
126,SAMEA,Singapore,Singapore,Leased,Residential,141.026754,sqm,2021-07-17,,USD,29412,-5157.173,208.5561723
127,SAMEA,Australia,Melbourne,Leased,Office,449.9998056,sqm,2022-11-30,,USD,93700,112183.288,208.2223122
128,North Asia,Korea,Geoje,Leased,Residential,84.820439,sqm,2022-06-03,,USD,17647,12425.422,208.0512693
129,Americas,USA,Seattle,Leased,Office,212.190452,sqm,2022-01-01,,USD,43076,12273.710,203.0063068
130,North Asia,China,Nanjing,Leased,Office,234.9999966,sqm,2022-08-31,,USD,47024.16,44576.327,200.1028114
131,North Asia,Japan,Nagasaki,Leased,Office,228.355574,sqm,2021-06-30,,USD,45618,-10123.447,199.7674031
132,SAMEA,Australia,Melbourne,Leased,Office,251.952936,sqm,2022-07-30,,USD,50140,43134.137,199.0054206
133,UK & I,Scotland,Aberdeen,Leased,Office,3753.2812,sqm,2022-09-14,,USD,727200,717238.356,193.7504709
134,Americas,Brazil,Rio de Janeiro,Leased,Office,449.000199,sqm,2022-01-03,,USD,84842,24639.047,188.9576
135,Americas,Mexico,Monterrey,Leased,Office,405.335789,sqm,2021-11-06,,USD,76477,10057.249,188.6756661
136,North Asia,China,Jiangyin,Leased,Residential,161.9698773,sqm,2022-09-01,,USD,30456.85,28954.868,188.0402116
137,North Asia,Korea,Ulsan,Leased,Residential,84.913342,sqm,2022-11-24,,USD,15176.47,17920.708,178.7289211
138,Americas,USA,New Jersey,Leased,Office,186.270515,sqm,2021-02-28,,USD,32844,-18266.663,176.3242025
139,Americas,Argentina,Buenos Aires,Leased,Office,299.983787,sqm,2021-12-31,,USD,52623,14849.778,175.4194803
140,North Asia,Korea,Geoje,Leased,Residential,84.820439,sqm,2022-07-01,,USD,14824,11574.904,174.7691968
141,North Asia,China,Jiangyin,Leased,Residential,162.301541,sqm,2022-09-09,,USD,28020.3,27252.621,172.6434625
142,North Asia,China,Qingdao,Leased,Office,298.590242,sqm,2019-02-15,,USD,50896.75,-132052.664,170.456843
143,SAMEA,India,Mumbai,Leased,Office,1966.570704,sqm,2021-07-14,,USD,335196,-61529.129,170.446961
144,North Asia,China,Guangzhou,Leased,Residential,60.99997364,sqm,2022-06-15,,USD,10378,7648.444,170.1312211
145,SAMEA,Singapore,Singapore,Leased,Residential,278.709,sqm,2022-08-30,,USD,47059,44480.425,168.8463595
146,SAMEA,Australia,Perth,Leased,Office,669.923533,sqm,2022-12-30,,USD,113041,144630.540,168.7371684
147,North Asia,Korea,Busan,Leased,Residential,115.385526,sqm,2021-06-21,,USD,19059,-4699.479,165.1766964
148,North Asia,CHINA,Qingdao,Leased,Residential,190.2755633,sqm,2022-08-14,,USD,31413.6,28315.272,165.0952936
149,UK & I,Scotland,Glasgow,Leased,Office,277.594164,sqm,2021-06-21,,USD,45812,-11296.110,165.0322879
150,UK & I,England,Bath,Leased,Office,275.457395,sqm,2022-04-30,,USD,45000,27493.151,163.3646466
151,North Asia,Korea,Geoje,Leased,Residential,112.41263,sqm,2022-06-30,,USD,18353,14280.142,163.2645727
152,SAMEA,Morocco,Casablanca,Leased,Office,141.955784,sqm,2021-06-30,,USD,23056,-5116.537,162.4167706
153,North Asia,Korea,Changwon,Leased,Residential,100.985561,sqm,2021-10-31,,USD,16235,1868.137,160.7655574
154,North Asia,Taiwan,Taipei,Leased,Office,168.5999271,sqm,2021-07-31,,USD,26839,-3676.575,159.1874946
155,North Asia,Japan,Hiroshima,Leased,Office,39.669581,sqm,2021-02-28,,USD,6300,-3503.836,158.8118614
156,North Asia,Korea,Seoul,Leased,Office,1123.940494,sqm,2023-09-30,,USD,177600,360552.329,158.015483
157,North Asia,China,Shanghai,Leased,Residential,236.995553,sqm,2022-06-30,,USD,37392,29094.049,157.7751123
158,North Asia,Japan,Ehime,Leased,Office,58.08945881,sqm,2021-10-18,,USD,9072,720.789,156.1729131
159,North Asia,Korea,Seoul,Leased,Office,595.043715,sqm,2022-09-30,,USD,92753,95548.296,155.8759427
160,North Asia,Korea,Geoje,Leased,Residential,109.068122,sqm,2022-08-31,,USD,16941,16059.140,155.3249445
161,S. Europe,Italy,Milan,Leased,Office,299.983787,sqm,2022-10-31,,USD,46590,51951.041,155.3083934
162,Americas,USA,Miami,Leased,Office,563.642501,sqm,2023-04-30,,USD,86456,139277.063,153.3880072
163,Americas,Brazil,Santos,Leased,Office,49.981814,sqm,2022-05-30,,USD,7660,5309.534,153.2557422
164,North Asia,China,Guangzhou,Leased,Residential,272.112887,sqm,2022-06-30,,USD,41411,32221.162,152.1831636
165,UK & I,England,Liverpool,Leased,Office,71.349504,sqm,2023-11-07,,USD,10752,22947.419,150.6948107
166,UK & I,England,Liverpool,Leased,Office,424.195098,sqm,2016-11-17,,USD,63924,-309462.214,150.6948107
167,Americas,USA,Houston Port,Leased,Office,301.284429,sqm,2024-08-28,,USD,44624,131304.592,148.1125332
168,North Asia,Korea,Busan,Leased,Residential,111.111988,sqm,2021-04-26,,USD,16235,-6494.000,146.1138469
169,SAMEA,Indonesia,Jakarta,Leased,Office,634.713296,sqm,2019-04-30,,USD,92401.61,-221004.399,145.5800762
170,North Asia,Korea,Geoje,Leased,Residential,112.041018,sqm,2022-09-30,,USD,16235,16724.274,144.9022893
171,SAMEA,Vietnam,Haiphong,Leased,Office,41.992156,sqm,2021-04-30,,USD,6035,-2347.863,143.7173171
172,Americas,Canada,Calgary,Leased,Office,696.122179,sqm,2021-09-30,,USD,98914.14,2980.974,142.0930736
173,Americas,Canada,Ottawa,Leased,Office,220.644625,sqm,2022-02-28,,USD,31219.5,13856.326,141.4922299
174,North Asia,Korea,Ulsan,Leased,Residential,85.006245,sqm,2021-09-11,,USD,12000,-263.014,141.166099
175,Americas,Brazil,Sao Paulo,Leased,Office,349.965601,sqm,2023-01-31,,USD,49213,67280.238,140.6223922
176,North Asia,Japan,Nagasaki,Leased,Residential,74.972721,sqm,2016-09-06,,USD,10510,-52953.123,140.1843212
177,SAMEA,Saudi Arabia,Al Khobar,Leased,Office,140.004821,sqm,2022-09-10,,USD,19453,18973.337,138.9452153
178,North Asia,China,Shanghai,Leased,Residential,280.009642,sqm,2021-08-14,,USD,38862.94,-3833.057,138.7914349
179,Americas,USA,New Orleans,Leased,Office,154.962204,sqm,2021-03-31,2019-03-31,USD,21354,-10062.707,137.8013441
180,North Asia,Korea,Ulsan,Leased,Residential,153.754465,sqm,2022-10-01,,USD,21176,21872.197,137.7260816
181,North Asia,Korea,Ulsan,Leased,Residential,113.434563,sqm,2022-10-06,,USD,15529,16252.268,136.8983103
182,North Asia,Korea,Busan,Leased,Residential,145.764807,sqm,2022-06-27,,USD,19765,15216.342,135.595144
183,UK & I,England,Newcastle,Leased,Office,181.16085,sqm,2021-09-15,2018-03-12,USD,24500,-268.493,135.2389327
184,SAMEA,Malaysia,Kuala Lumpur,Leased,Office,1356.755412,sqm,2021-04-03,,USD,181888,-84216.636,134.0610094
185,North Asia,Korea,Busan,Leased,Residential,170.01249,sqm,2022-06-20,,USD,22588.24,16956.651,132.8622385
186,North Asia,China,Guangzhou,Leased,Office,257.1898781,sqm,2023-03-31,,USD,32899.49,50295.659,127.9190699
187,SAMEA,Vietnam,Vung Tau,Leased,Office,189.986635,sqm,2021-03-31,,USD,23896,-11260.581,125.7772685
188,North Asia,China,Shanghai,Leased,Residential,264.4595379,sqm,2022-06-09,,USD,32879.52,23691.271,124.3272232
189,North Asia,Korea,Busan,Leased,Residential,170.477005,sqm,2022-07-01,,USD,21176,16534.685,124.2161663
190,SAMEA,Indonesia,Surabaya,Leased,Office,89.99978125,sqm,2021-01-31,,USD,11112.09,-7032.583,123.4679668
191,North Asia,China,Guangzhou,Leased,Office,74.043691,sqm,2022-03-31,,USD,9102,4812.838,122.9274213
192,North Asia,Korea,Ulsan,Leased,Residential,69.955959,sqm,2022-12-31,,USD,8471,10861.447,121.0904706
193,North Asia,Korea,Geoje,Leased,Residential,112.041018,sqm,2021-02-28,,USD,13411.76,-7459.143,119.7040177
194,SAMEA,Iran,Tehran,Leased,Office,114.921011,sqm,2024-08-04,,USD,13717,39459.863,119.3602448
195,North Asia,China,Dalian,Leased,Office,451.6999602,sqm,2022-06-10,,USD,52828.26,38210.029,116.9543163
196,North Asia,Korea,Ulsan,Leased,Residential,49.145687,sqm,2022-10-16,,USD,5647,6064.723,114.9032671
197,North Asia,China,Nanjing,Leased,Residential,231.607179,sqm,2022-06-30,,USD,26457,20585.721,114.2322104
198,SAMEA,Australia,Brisbane,Leased,Office,149.945442,sqm,2022-05-31,,USD,17080,11885.808,113.9080973
199,UK & I,England,Hull,Leased,Office,179.860208,sqm,2022-07-01,,USD,20000,15616.438,111.1974695
200,Americas,Chile,Talcahuano,Leased,Parking,6.038695,sqm,2022-09-01,,USD,666,633.156,110.2887296
201,SAMEA,Kazakhstan,Aktau,Leased,Office,107.953286,sqm,2021-12-16,,USD,11724,2826.608,108.6025302
202,Americas,Bahamas,Freeport,Leased,Residential,139.3545,sqm,2021-03-15,,USD,15005,-7728.603,107.6750302
203,UK & I,England,Sheffield,Leased,Office,288.463815,sqm,2021-01-02,2018-01-03,USD,31050,-22117.808,107.6391505
204,SAMEA,Bahrain,Manama,Leased,Office,129.971297,sqm,2021-07-14,,USD,13935,-2557.932,107.2159802
205,UK & I,England,Bristol,Leased,Office,297.2896,sqm,2024-10-23,,USD,31860,98635.068,107.1682292
206,SAMEA,Oman,Muscat,Leased,Office,99.963628,sqm,2022-09-30,,USD,10712,11034.827,107.1589759
207,Americas,Colombia,Cartagena de Indias,Leased,Office,119.937773,sqm,2022-10-14,,USD,12716,13586.959,106.0216451
208,Americas,Chile,Quilpue,Leased,Storage,19.974145,sqm,2022-04-01,,USD,2096,1114.038,104.9356556
209,North Asia,Korea,Ulsan,Leased,Residential,115.013914,sqm,2022-06-20,,USD,12000,9008.219,104.3352024
210,North Asia,Korea,Ulsan,Leased,Residential,115.013914,sqm,2021-02-28,,USD,12000,-6673.973,104.3352024
211,North Asia,Korea,Ulsan,Leased,Residential,115.013914,sqm,2022-12-31,,USD,12000,15386.301,104.3352024
212,North Asia,Korea,Jeonam,Leased,Residential,121.981639,sqm,2022-07-07,,USD,12706,10129.989,104.1632175
213,Americas,Mexico,Veracruz,Leased,Office,360.928155,sqm,2022-12-31,,USD,37339,47875.759,103.4527218
214,Americas,Ecuador,Guayaquil,Leased,Office,90.023007,sqm,2023-02-28,,USD,9271,13385.800,102.9847848
215,North Asia,Korea,Ulsan,Leased,Residential,103.029427,sqm,2021-06-30,,USD,10588,-2349.666,102.7667561
216,North Asia,China,Nanjing,Leased,Residential,100.8211227,sqm,2022-05-02,,USD,10355.33,6383.423,102.7099255
217,Americas,Canada,Newfoundland (St. John's),Leased,Office,310.946341,sqm,2021-07-31,,USD,31872.36,-4366.077,102.5011579
218,SAMEA,Iran,Tehran,Leased,Residential,167.968624,sqm,2022-08-27,,USD,17160,16078.685,102.1619371
219,UK & I,England,Birmingham,Leased,Office,1150.417849,sqm,2025-03-08,,USD,114534,397260.395,99.55860829
220,UK & I,England,Birmingham,Leased,Office,1215.728658,sqm,2025-03-08,,USD,120889,419302.668,99.43748484
221,SAMEA,Pakistan,Karachi,Leased,Office,139.3545,sqm,2022-08-31,,USD,13816,13096.811,99.14283356
222,Americas,USA,Lafayette,Leased,Office,125.604856,sqm,2022-01-31,,USD,12402,4553.063,98.73822076
223,SAMEA,Jordan,Amman,Leased,Office,180.046014,sqm,2019-12-31,,USD,17635,-30341.863,97.94718366
224,North Asia,China,Wuhan,Leased,Residential,199.927256,sqm,2022-06-21,,USD,19492.39,14686.047,97.49741176
225,North Asia,Korea,Geoje,Leased,Residential,57.971472,sqm,2022-09-30,,USD,5647.06,5817.245,97.41101623
226,Americas,USA,Houston,Leased,Office,8072.527476,sqm,2024-06-30,,USD,784661,2182002.507,97.20140344
227,UK & I,England,Bracknell,Leased,Office,915.930677,sqm,2021-03-01,,USD,88780,-49133.041,96.92873296
228,SAMEA,New Zealand,Auckland,Leased,Office,141.491269,sqm,2022-10-31,,USD,13670,15242.986,96.61373523
229,SAMEA,India,GURGAON,Leased,Office,315.034073,sqm,2022-06-30,,USD,30397,23651.364,96.48797576
230,Americas,USA,Maine,Leased,Office,204.3866,sqm,2022-08-31,,USD,19661,18637.551,96.19515174
231,SAMEA,South Africa,Durban,Leased,Office,166.760885,sqm,2022-03-31,,USD,15313,8097.011,91.82608979
232,North Asia,China,Qingdao,Leased,Residential,240.000036,sqm,2022-04-09,,USD,21928.93,12136.011,91.37052795
233,North Asia,China,Zhoushan,Leased,Residential,129.6389783,sqm,2022-06-30,,USD,11817.26,9194.800,91.15514603
234,Americas,Canada,Vancouver,Leased,Office,363.622342,sqm,2024-02-28,,USD,33037.68,80738.659,90.85712341
235,North Asia,Japan,Hiroshima,Leased,Residential,42.177962,sqm,2016-05-09,,USD,3798,-20384.334,90.04702503
236,North Asia,Japan,Kagawa,Leased,Residential,70.234668,sqm,2016-07-31,,USD,6250,-32123.288,88.98739295
237,SAMEA,Thailand,Bangkok,Leased,Office,195.0963,sqm,2019-08-31,,USD,16968,-34865.753,86.97243361
238,SAMEA,Thailand,Bangkok,Leased,Office,130.0642,sqm,2021-08-31,,USD,11312,-588.844,86.97243361
239,North Asia,Korea,Busan,Leased,Office,3848.228066,sqm,2023-07-24,,USD,328652,605980.263,85.40346216
240,SAMEA,India,Thane (Mumbai),Leased,Office,480.029801,sqm,2024-08-30,,USD,40465,119288.603,84.29684973
241,Americas,Canada,Halifax,Leased,Office,929.494515,sqm,2021-07-30,,USD,75394.8,-10534.616,81.11376537
242,North Asia,China,Zhoushan,Leased,Residential,130.2685866,sqm,2022-06-30,,USD,10355.33,8057.298,79.4921498
243,North Asia,China,Wuhan,Leased,Office,182.7996589,sqm,2023-08-31,,USD,14475.53,28197.539,79.18794863
